time,command,temp_ambient,ax,ay,az,compass,mlx_amb,mlx_obj,motor_current_m1,motor_current_m2
0.113901,s,21.73,0.06,-0.94,10.30,268.18,15.67,15.25,0.00,0.00
0.857918,s,21.73,0.08,-0.94,10.31,268.54,15.63,15.29,0.00,0.00
0.982648,s,21.73,0.09,-0.93,10.31,268.19,15.63,15.21,0.00,0.00
1.107398,s,21.73,0.06,-0.93,10.32,268.48,15.65,15.25,0.00,0.00
1.232074,s,21.72,0.08,-0.93,10.30,268.57,15.65,15.35,0.00,0.00
1.356497,s,21.72,0.07,-0.93,10.31,268.79,15.67,15.35,0.00,0.00
1.480794,s,21.72,0.08,-0.94,10.34,268.88,15.67,15.25,0.00,0.00
1.605368,s,21.72,0.08,-0.93,10.31,267.87,15.67,15.35,0.00,0.00
1.729922,s,21.71,0.07,-0.93,10.35,268.45,15.67,15.25,0.00,0.00
1.854798,s,21.71,0.09,-0.94,10.31,268.53,15.67,15.25,0.00,0.00
1.980189,s,21.71,0.07,-0.93,10.32,273.20,15.65,15.21,0.00,0.00
2.104785,s,21.71,0.07,-0.93,10.31,268.84,15.65,15.31,0.00,0.00
2.229463,s,21.71,0.08,-0.93,10.32,268.35,15.65,15.25,0.00,0.00
2.354020,w,21.70,0.08,-0.93,10.42,269.33,15.67,15.31,0.00,0.00
2.478515,w,21.70,0.07,-0.94,10.32,268.13,15.65,15.25,0.00,0.00
2.603031,w,21.70,0.09,-0.93,10.33,267.69,15.63,15.21,0.00,0.00
2.727903,w,21.70,0.07,-0.94,10.31,268.81,15.67,15.29,0.00,0.00
2.852549,w,21.70,0.08,-0.92,10.32,268.12,15.63,15.31,0.00,0.00
2.977215,w,21.70,0.08,-0.93,10.31,269.08,15.65,15.25,0.00,0.00
3.101784,w,21.70,0.06,-0.93,10.31,268.44,15.67,15.25,0.00,0.00
3.226440,w,21.70,0.07,-0.92,10.31,268.14,15.65,15.25,0.00,0.00
3.351738,w,21.70,0.08,-0.93,10.32,268.08,15.65,15.35,0.00,0.00
3.476244,w,21.69,0.07,-0.96,10.31,267.79,15.63,15.25,0.00,0.00
3.600829,w,21.69,0.07,-0.95,10.31,268.19,15.65,15.21,0.00,0.00
3.725455,d,21.69,0.07,-0.95,10.31,268.12,15.67,15.31,0.00,0.00
3.854325,d,21.69,0.08,-0.92,10.31,268.97,15.63,15.29,0.00,0.00
3.978799,d,21.68,0.08,-0.92,10.32,268.64,15.69,15.19,0.00,0.00
4.103289,d,21.68,0.08,-0.94,10.32,268.07,15.67,15.29,0.00,0.00
4.227847,d,21.68,0.08,-0.93,10.32,268.32,15.65,15.21,0.00,0.00
4.352712,d,21.68,0.07,-0.93,10.33,268.53,15.65,15.31,0.00,0.00
4.477385,d,21.67,0.09,-0.91,10.30,268.17,15.65,15.21,0.00,0.00
4.604902,d,21.67,0.07,-0.93,10.32,268.04,15.65,15.25,0.00,0.00
4.729410,d,21.67,0.08,-0.93,10.32,268.66,15.65,15.25,0.00,0.00
4.861801,a,21.67,0.07,-0.92,10.31,268.72,15.65,15.19,0.00,0.00
4.986379,a,21.67,0.07,-0.93,10.31,268.60,15.67,15.31,0.00,0.00
5.110878,a,21.67,0.08,-0.92,10.31,268.20,15.65,15.31,0.00,0.00
5.235408,a,21.67,0.08,-0.93,10.32,268.09,15.65,15.25,0.00,0.00
5.361407,a,21.67,0.07,-0.94,10.31,268.47,15.67,15.21,0.00,0.00
5.486081,a,21.67,0.08,-0.93,10.30,267.78,15.67,15.31,0.00,0.00
5.610460,a,21.66,0.08,-0.93,10.31,268.95,15.65,15.25,0.00,0.00
5.735075,a,21.66,0.09,-0.93,10.33,268.54,15.63,15.15,0.00,0.00
5.859721,a,21.66,0.07,-0.94,10.32,267.15,15.63,15.25,0.00,0.00
5.984202,a,21.66,0.08,-0.93,10.31,267.83,15.65,15.29,0.00,0.00
6.108847,a,21.66,0.08,-0.93,10.31,268.74,15.67,15.25,0.00,0.00
6.233414,a,21.66,0.08,-0.94,10.36,268.47,15.63,15.21,0.00,0.00
6.357877,a,21.66,0.07,-0.93,10.32,268.23,15.67,15.21,0.00,0.00
6.482680,a,21.66,0.07,-0.93,10.31,268.61,15.67,15.31,0.00,0.00
6.607222,a,21.66,0.08,-0.95,10.30,268.45,15.65,15.35,0.00,0.00
6.731887,a,21.65,0.07,-0.94,10.32,266.80,15.67,15.21,0.00,0.00
6.858822,x,21.65,0.09,-0.93,10.35,268.19,15.67,15.21,0.00,0.00
6.983308,x,21.65,0.10,-0.94,10.27,267.52,15.63,15.35,0.00,0.00
7.107668,x,21.65,0.07,-0.92,10.32,268.09,15.63,15.31,0.00,0.00
7.232340,x,21.65,0.07,-0.94,10.31,267.68,15.63,15.21,0.00,0.00
7.358090,x,21.65,0.08,-0.93,10.33,268.25,15.67,15.25,0.00,0.00
7.482661,x,21.65,0.07,-0.94,10.30,268.40,15.69,15.25,0.00,0.00
7.607217,x,21.65,0.08,-0.94,10.36,268.73,15.69,15.35,0.00,0.00
7.731886,x,21.65,0.07,-0.91,10.34,268.10,15.65,15.31,0.00,0.00
7.856440,x,21.64,0.08,-0.92,10.34,267.80,15.65,15.21,0.00,0.00
7.980945,x,21.64,0.07,-0.91,10.30,268.37,15.65,15.21,0.00,0.00
8.105500,x,21.64,0.07,-0.93,10.31,268.69,15.65,15.25,0.00,0.00
8.229998,x,21.64,0.08,-0.95,10.30,268.41,15.67,15.31,0.00,0.00
8.354619,x,21.64,0.07,-0.93,10.33,268.10,15.65,15.35,0.00,0.00
8.479150,x,21.64,0.09,-0.93,10.31,268.26,15.65,15.35,0.00,0.00
8.603873,x,21.64,0.08,-0.92,10.32,268.76,15.61,15.29,0.00,0.00
8.728761,x,21.64,0.06,-0.93,10.31,268.07,15.67,15.19,0.00,0.00
8.853310,x,21.64,0.07,-0.93,10.34,268.00,15.61,15.25,0.00,0.00
8.977794,x,21.64,0.08,-0.92,10.30,268.20,15.65,15.29,0.00,0.00
9.102399,x,21.64,0.08,-0.94,10.39,268.53,15.65,15.25,0.00,0.00
9.227107,x,21.64,0.08,-0.91,10.32,268.38,15.63,15.15,0.00,0.00
9.351679,x,21.64,0.07,-0.94,10.34,268.78,15.67,15.29,0.00,0.00
9.478510,z,21.63,0.08,-0.94,10.34,268.11,15.63,15.25,0.00,0.00
9.610866,z,21.63,0.07,-0.95,10.30,268.31,15.67,15.25,0.00,0.00
9.738162,z,21.63,0.06,-0.93,10.31,268.32,15.65,15.21,0.00,0.00
9.862697,z,21.63,0.06,-0.93,10.32,267.62,15.65,15.31,0.00,0.00
9.987233,z,21.63,0.08,-0.94,10.33,267.97,15.63,15.21,0.00,0.00
10.112177,z,21.63,0.08,-0.94,10.31,267.73,15.67,15.31,0.00,0.00
10.236738,z,21.63,0.06,-0.94,10.32,268.16,15.65,15.25,0.00,0.00
10.361361,z,21.63,0.06,-0.93,10.31,268.17,15.65,15.19,0.00,0.00
10.485770,z,21.63,0.08,-0.95,10.33,267.61,15.65,15.31,0.00,0.00
10.610437,z,21.63,0.08,-0.93,10.34,267.55,15.63,15.29,0.00,0.00
