time,command,temp_ambient,ax,ay,az,compass,motor_current_m1,motor_current_m2
48:46,s,35.42,0.21,0.19,10.75,261.16,0.55,0.56
48:46,s,35.42,0.19,0.18,10.73,260.80,0.54,0.56
48:46,s,35.41,0.20,0.19,10.74,260.55,0.54,0.56
48:46,s,35.41,0.20,0.18,10.74,261.19,0.54,0.56
48:46,s,35.41,0.19,0.18,10.72,260.53,0.54,0.56
48:46,s,35.41,0.19,0.18,10.72,261.73,0.54,0.56
48:46,s,35.40,0.18,0.19,10.76,261.31,0.54,0.56
48:46,s,35.40,0.19,0.18,10.75,260.94,0.54,0.55
48:47,s,35.40,0.19,0.18,10.74,260.98,0.54,0.56
48:47,s,35.40,0.19,0.22,10.73,260.45,0.54,0.56
48:47,s,35.39,0.16,0.18,10.85,260.59,0.54,0.56
48:47,s,35.39,0.13,0.17,10.74,261.53,0.54,0.56
48:47,s,35.39,0.14,0.16,10.74,261.91,0.54,0.56
48:47,s,35.39,0.14,0.16,10.74,261.78,0.54,0.56
48:47,s,35.39,0.13,0.21,10.75,261.57,0.54,0.56
48:48,s,35.39,0.21,0.18,10.75,261.01,0.54,0.56
48:48,s,35.39,0.22,0.15,10.77,260.78,0.54,0.55
48:48,s,35.39,0.23,0.22,10.70,261.19,0.54,0.56
48:48,s,35.38,0.24,0.24,10.74,260.26,0.54,0.56
48:48,s,35.38,0.19,0.23,10.76,260.91,0.54,0.55
48:48,s,35.38,0.18,0.13,10.74,260.34,0.54,0.55
48:48,s,35.38,0.16,0.16,10.76,260.98,0.54,0.56
48:49,a,35.37,0.20,0.19,10.78,261.27,0.54,0.56
48:49,a,35.37,0.21,0.14,10.74,261.00,0.54,0.56
48:49,a,35.37,0.24,0.14,10.74,260.14,0.54,0.56
48:49,a,35.37,0.21,0.22,10.73,261.17,0.54,0.56
48:49,a,35.37,0.20,0.21,10.74,261.54,0.54,0.56
48:49,a,35.37,0.21,0.19,10.75,260.91,0.54,0.55
48:49,a,35.37,0.21,0.17,10.74,261.15,0.54,0.56
48:49,a,35.37,0.19,0.18,10.75,260.39,0.54,0.56
48:50,a,35.36,0.18,0.18,10.60,260.96,0.54,0.56
48:50,a,35.36,0.18,0.18,10.73,260.60,0.54,0.56
48:50,a,35.36,0.19,0.17,10.74,261.21,0.54,0.56
48:50,a,35.36,0.20,0.16,10.74,260.01,0.54,0.56
48:50,a,35.35,0.19,0.17,10.73,260.90,0.54,0.56
48:50,a,35.35,0.20,0.18,10.75,261.43,0.54,0.55
48:50,a,35.35,0.19,0.18,10.73,260.68,0.54,0.56
48:51,a,35.35,0.19,0.22,10.77,261.19,0.54,0.56
48:51,a,35.35,0.20,0.11,10.75,260.49,0.54,0.56
48:51,a,35.35,0.18,0.09,10.75,261.28,0.54,0.56
48:51,a,35.35,0.20,0.19,10.74,261.74,0.54,0.56
48:51,w,35.35,0.18,0.21,10.74,260.42,0.54,0.56
48:51,w,35.34,0.24,0.13,10.74,260.33,0.54,0.56
48:51,w,35.34,0.20,0.14,10.73,260.48,0.54,0.56
48:51,w,35.34,0.18,0.21,10.72,261.27,0.54,0.56
48:52,w,35.34,0.18,0.22,10.72,261.61,0.54,0.56
48:52,w,35.34,0.19,0.15,10.74,261.24,0.54,0.56
48:52,w,35.34,0.19,0.16,10.72,260.63,0.54,0.56
48:52,w,35.34,0.22,0.24,10.77,260.75,0.54,0.55
48:52,w,35.33,0.20,0.23,10.74,260.71,0.54,0.55
48:52,w,35.33,0.19,0.03,10.71,260.29,0.54,0.56
48:52,w,35.33,0.17,0.12,10.76,260.61,0.54,0.56
48:53,w,35.33,0.17,0.19,10.72,261.01,0.54,0.56
48:53,w,35.33,0.21,0.24,10.74,260.70,0.54,0.56
48:53,w,35.33,0.18,0.17,10.73,261.46,0.54,0.56
48:53,w,35.33,0.21,0.15,10.74,260.13,0.55,0.56
48:53,w,35.33,0.18,0.19,10.72,260.72,0.54,0.56
48:53,w,35.32,0.17,0.16,10.70,261.13,0.55,0.56
48:53,w,35.32,0.20,0.15,10.67,260.33,0.54,0.56
48:54,w,35.32,0.20,0.17,10.74,261.20,0.55,0.56
48:54,w,35.32,0.21,0.19,10.73,261.20,0.54,0.56
