time,command,temp_ambient,ax,ay,az,compass,motor_current_m1,motor_current_m2,mlx_ambient,mlx_object
39:52,s,31.72,5.43,0.06,-7.90,6.53,0.51,0.52,30.97,30.39
39:52,s,31.72,5.33,0.04,-7.57,6.89,0.50,0.53,30.93,30.39
39:53,s,31.72,5.40,0.04,-7.70,7.03,0.51,0.51,30.95,30.37
39:53,s,31.71,5.40,0.07,-7.68,7.68,0.52,0.55,30.97,30.45
39:53,s,31.71,5.31,0.01,-7.62,7.37,0.52,0.53,30.95,30.39
39:53,s,31.71,5.34,0.09,-7.76,7.93,0.51,0.51,30.97,30.43
39:53,s,31.71,5.43,0.04,-7.61,7.40,0.51,0.51,30.95,30.39
39:53,s,31.70,5.36,0.09,-7.67,7.18,0.52,0.51,30.95,30.43
39:53,s,31.70,5.43,-0.07,-7.73,7.33,0.50,0.53,30.93,30.37
39:54,s,31.70,5.31,0.02,-7.39,7.18,0.52,0.54,30.97,30.43
39:54,s,31.70,5.46,0.05,-7.65,7.45,0.52,0.53,30.97,30.43
39:54,s,31.69,5.42,0.05,-7.69,7.36,0.51,0.52,30.95,30.37
39:54,s,31.69,5.39,0.03,-7.63,7.42,0.52,0.52,30.95,30.39
39:54,s,31.69,5.30,0.07,-7.74,7.16,0.51,0.51,30.97,30.43
39:54,s,31.68,5.41,0.03,-7.34,7.66,0.50,0.54,30.95,30.39
39:54,s,31.68,5.48,0.10,-7.84,6.68,0.51,0.53,30.93,30.43
39:55,s,31.68,5.43,0.04,-7.64,7.43,0.50,0.52,30.97,30.39
39:55,s,31.68,5.35,0.04,-7.57,6.88,0.51,0.54,30.93,30.43
39:55,s,31.68,5.31,0.10,-7.82,7.37,0.51,0.55,30.95,30.39
39:55,s,31.68,5.48,0.05,-7.65,7.38,0.52,0.53,30.95,30.39
39:55,s,31.68,5.43,0.04,-7.62,6.92,0.51,0.54,30.95,30.37
39:55,s,31.68,5.48,0.04,-7.57,7.28,0.51,0.55,30.97,30.43
39:55,s,31.68,5.51,0.06,-7.72,6.98,0.51,0.55,30.97,30.39
39:55,s,31.67,5.40,0.09,-7.74,6.95,0.51,0.54,30.97,30.39
39:56,s,31.67,5.43,0.02,-7.50,7.08,0.52,0.52,30.95,30.37
39:56,s,31.67,5.48,0.02,-7.52,7.56,0.51,0.51,30.97,30.45
39:56,s,31.67,5.40,0.08,-7.83,6.71,0.50,0.53,30.93,30.45
39:56,s,31.66,5.25,0.01,-7.62,7.24,0.50,0.52,30.95,30.39
39:56,w,31.66,5.37,0.06,-7.67,7.24,0.51,0.55,30.97,30.43
39:56,w,31.66,5.38,-0.00,-7.30,7.14,0.52,0.54,30.95,30.39
39:56,w,31.66,5.40,0.01,-7.50,7.23,0.51,0.53,30.97,30.39
39:57,w,31.65,5.46,0.14,-7.74,7.43,0.51,0.54,30.93,30.45
39:57,w,31.65,5.33,0.01,-7.54,7.97,0.51,0.54,30.97,30.43
39:57,w,31.65,5.41,0.03,-7.55,7.09,0.51,0.53,30.97,30.43
39:57,w,31.65,5.35,0.06,-7.66,8.21,0.51,0.53,30.95,30.43
39:57,s,31.65,5.48,0.06,-7.77,7.73,0.51,0.54,30.97,30.43
39:57,s,31.65,5.31,-0.01,-7.63,7.45,0.53,0.52,30.93,30.43
39:57,s,31.65,5.37,0.01,-7.75,7.99,0.51,0.54,30.97,30.39
39:58,s,31.65,5.41,0.03,-7.65,7.76,0.51,0.53,30.93,30.39
39:58,s,31.64,5.39,0.11,-7.69,7.10,0.52,0.54,30.95,30.39
39:58,s,31.64,5.37,0.05,-7.61,8.10,0.51,0.55,30.95,30.37
39:58,s,31.64,5.39,0.05,-7.67,7.72,0.51,0.54,30.97,30.45
39:58,s,31.64,5.35,0.04,-7.60,8.06,0.51,0.55,30.97,30.37
39:58,s,31.64,5.39,0.05,-7.69,7.52,0.51,0.56,30.93,30.37
39:58,s,31.64,5.35,0.07,-7.51,7.99,0.50,0.54,30.95,30.43
39:59,s,31.64,5.40,0.05,-7.69,7.82,0.50,0.54,30.93,30.37
39:59,s,31.64,5.46,0.04,-7.77,7.48,0.51,0.54,30.95,30.43
39:59,s,31.63,5.41,0.06,-7.65,7.25,0.51,0.54,30.93,30.45
